node_id,raw_pred,prior_prob
J1,0.046707,0.011603
J2a,0.047293,0.011749
J2,0.049195,0.012222
J7,0.047015,0.01168
J12,0.054602,0.013565
J13,0.046675,0.011595
J3,0.113404,0.028173
J4,0.140226,0.034836
J5,0.155129,0.038538
J6,0.22434,0.055732
J8,0.185217,0.046013
J9,0.20523,0.050985
J10,0.238838,0.059334
J11,0.2647,0.065759
Aux3,0.08103,0.02013
JI18,0.169749,0.04217
JI2,0.268127,0.06661
JI3,0.28849,0.071669
JI4,0.302725,0.075205
JI5,0.302404,0.075125
JI6,0.048286,0.011996
JI7,0.054585,0.01356
JI8,0.055151,0.013701
JI9,0.081146,0.020159
JI10,0.258575,0.064237
JI11,0.115454,0.028682
JI12,0.10569,0.026256
JI13,0.075334,0.018715
O1,0.233732,0.0
O2,0.1259,0.0
Well,0.169228,0.0
