node_id,raw_pred,prior_prob
J1,0.01754,0.005105
J2a,0.022435,0.00653
J2,0.036278,0.010559
J7,0.037518,0.01092
J12,0.024572,0.007152
J13,0.020831,0.006063
J3,0.021004,0.006114
J4,0.09707,0.028254
J5,0.179591,0.052274
J6,0.212718,0.061916
J8,0.179167,0.052151
J9,0.172873,0.050318
J10,0.160145,0.046614
J11,0.249646,0.072665
Aux3,0.016728,0.004869
JI18,0.082685,0.024067
JI2,0.195418,0.056881
JI3,0.305869,0.08903
JI4,0.375402,0.109269
JI5,0.346986,0.100998
JI6,0.047742,0.013896
JI7,0.05361,0.015604
JI8,0.054595,0.015891
JI9,0.063342,0.018437
JI10,0.165539,0.048184
JI11,0.183665,0.05346
JI12,0.054904,0.015981
JI13,0.057704,0.016796
O1,0.217941,0.0
O2,0.055536,0.0
Well,0.217939,0.0
