node_id,topo_depth,n_upstream,node_type_code,is_high_risk,prior_contam_prob,detection_freq,peak_conc_mean,peak_conc_std,time_to_peak_mean,mean_flow_m3s,n_scenarios_detected,flow_diversion_fraction,mean_wastewater_flux,mean_contaminant_flux,contaminant_flux_std
J3,8,1,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
J4,7,2,0,1,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
J5,6,3,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
J6,5,6,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
J7,6,1,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
J8,4,7,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
J9,3,8,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
J10,2,9,0,1,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
J11,1,10,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
O1,0,11,3,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Aux3,9,0,2,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
J1,0,1,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
JI7,0,2,1,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
J2a,0,0,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
J2,0,1,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
JI9,0,2,1,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
JI6,0,1,1,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
J13,7,0,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
J12,0,0,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
JI8,0,1,1,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
JI1,0,0,1,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
JI2,0,4,1,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
JI3,0,7,1,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
JI4,0,10,1,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
JI5,0,14,1,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Well,0,15,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
JI10,4,0,1,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
JI11,3,1,1,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
JI12,2,2,1,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
JI13,1,3,1,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
O2,0,4,3,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
entry,0,0,0,0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
